Date,Post,Source
2021-11-15,KULANG SA KONTEKSTO: Pahayag ng Comelec tungkol sa kaso laban kay Marcos,Rappler
2021-11-15,Pharmally’s tax records show P3.4 billion in ‘unsupported purchases’ | Evening wRap,Rappler
2021-11-15,"After backing out of Senate run, Noli de Castro returns to ABS-CBN",Rappler
2021-11-15,"Pacquiao says no to endo, wants tax cuts",Rappler
2021-11-15,[VIDEO EDITORIAL] Ang delubyo ng kasinungalingan,Rappler
2021-11-15,"Lacson, Sotto now against death penalty, instead want PH version of 'Alcatraz'",Rappler
2021-11-15,[OPINION] Why the 2022 presidential candidates must have a global outlook,Rappler
2021-11-15,[OPINION] On being politically neutral as a development worker,Rappler
2021-11-15,De Lima dares Duterte successor: Have DOJ drop charges against me,Rappler
2021-11-15,Groups seek to block Bongbong Marcos’ presidential bid | Evening wRap,Rappler
2021-10-12,"Ang mga pambato natin sa #Halalan2022: matino, mahusay, matibay. Hindi magnanakaw.  #DapatSiLeni #HusayAtTibay 💪 #LeniKiko2022 🌸🌾",Instagram
2021-10-12,"At the brink of another campaign season, families and friends close to us are setting to stone their support for candidates. This support is not a mere opinion nor a preference. Your political views do affect and will affect many. You are standing for the same morals, values and principles that your candidate represents. You are choosing on behalf of the whole country.  This is not a children's slam book asking you to choose a favorite color. You cannot support a candidate just because. Choose to educate and be educated.  #Halalan2022 #NoToMarcosApologists",Instagram
2021-10-26,"‼️Never Again to D.o.M. (Duterte or Marcos)!  Join us on Oct. 28 as we celebrate our 21st anniversary with cultural performances against the Duterte-Marcos political gameplay in 2022! Songs, poems and artworks on women's continuing fight vs tyranny are welcome! DM us!  You can also send your contributions to gwp.arlenebrosas@gmail.com  #NeverAgain #NoDuterteMarcos2022 #MarcosNoHero #DuterteWakasan #Marcos #Duterte #diktator #fyp #trending #eleksyon2022 #halalan2022 #2022 #concert #cultural #night #poetry",Instagram
2021-10-19,A responsible voter does their research 🧐  Already trying to figure out who you’ll be including in your #Halalan2022 ballot? Here’s one of the things we need to consider: Are they for or against historical revisionism?  Comment below if you agree 👇  Art by @pammiina #preenph #NeverAgain #NoToHistoricalRevisionism,Instagram
2021-09-28,"Today, we commemorate the 49th anniversary of the declaration of Martial Law in the Philippines under the dictatorship of Ferdinand Marcos. As we look back on the events of the past, we memorialize the foundation of his New Society—the invocation of war, the abuse of power, the civil disorder, the corruption in the system, and the cries of seeking justice.  The Crusader Publication, in accordance with its pursuit of truth, condemns the atrocities and lies of the Marcos administration. We should not move on from the accounts of history nor be misguided by the tricks of historical revisionism. The darkest chapter in history allowed him to keep his hands clean while the military power he manipulated were tainted with the blood of the innocent.  May we heed the call to vote wisely in the upcoming #Halalan2022. Never Forget. Never Again.  #NeverForget #NeverAgain #MarcosNotAHero",Instagram
2021-09-14,"This message has been brought to u via pie!❗️Here’s your sign to register for the upcoming 2022 elections if ya haven’t yet!❗️  We’ve only got less than a month left til the last day of voter’s registration on September 30 so lets keep rallying our friends and fam to do their part for our future (pretty please) 🤍  If there’s one thing I’d want people to get out of my passionate baking, it would be the message and heart behind every pie post I put out! ☺️ So head on over and click on the hashtag #Halalan2022! There are so many tips and guides on how to get started! Cmon, let’s do our part 💪🏻",Instagram
2021-08-17,"⏰ Less than 50 days to go before the end of voter’s registration!* ⏰  *This is not factoring limited operating hours, days, and impact of ECQ in NCR-based COMELEC offices.  Find out where you can register, what you need to register, and how you can access COMELEC’s iRehistro website through the link in bio. #nolisoliph #magparehistroka #halalan2022",Instagram
2021-11-15,VP aspirant Sara Duterte appeals to her supporters to stay calm  #ItuloyAngPagbabago #SMNIElectionWatch2022 #Halalan2022,Instagram
2021-10-12,Think pink! #LetLeniLead #DapatSiLeni #KeriNiLeni #halalan2022,Instagram
2021-11-16,READ: Lakas-CMD official statement on the Balesin issue  #BotoMoTo #Halalan2022 #DailyTribune,Instagram
2021-11-16,"JUST IN | Pang. Rodrigo Duterte, tatakbo sa pagka-senador sa #Halalan2022",Instagram
2021-11-16,LOOK: Former presidential spokesperson Harry Roque files his certificate of candidacy (CoC) for senator. Roque substituted for Paolo Mario Sarmiento Martileno after he withdrew his candicacy under the People's Reform Party (PRP) / 📸 Yummie Dingding  #BotoMoTo #Halalan2022 #DailyTribune,Instagram
2021-11-16,"JUST IN | Pang. Rodrigo Duterte, tatakbong senador sa 2022 Elections - Sen. Go  #ItuloyAngPagbabago #SMNIElectionWatch2022 #Halalan2022",Instagram
2021-11-16,"Ahhhhaaaaaayyyyy dun ako naantig sa salitang. ""YUNG NAUMPISAHAN KO, TAPUSIN MO, TAYO NAGSIMULA, TULUY TULOY LANG.,GO!"" 🇵🇭👊🏼🤍 CLICK:👉🏼fb.watch/9hOIrf5Qco/ #DuterteLangMalakas #DuterteParinsa2022 #SupportPresidentDuterte #Halalan2022",Instagram
2021-11-16,Ang poster boy ng gobyerno sa kampanya laban sa insurgency may kontrobersyal na pahayag kontra kay Senador Bong Go.  #2022elections #PULSOngPUBLIKO #halalan2022,Instagram
2021-11-16,Umaalagwa si dating Senador Bongbong Marcos sa presidential preference survey na ginawa ng Social Weather Station habang naungusan na ni Vice President Leni Robredo ang dating pumapangalawa na si Manila Mayor Isko Moreno.  #2022elections #PULSOngPUBLIKO #halalan2022,Instagram
2021-11-16,"Verified Kung magakakatunggali si PRRD at Mayor Sarah Duterte sa pagka Bise President sa darating na #halalan2022, sino ang iyong pipiliin at baket?  Photo by: getty images",Instagram
2021-11-16,"SPEAK UP, CASA! Wave 2  175 days before the May 9, 2022, National Elections.  Recently, UST-CASA has collected 612 survey responses from the CASAN Community regarding Voters’ registration: 99.3 % are aged 18 years old above, 0.5 % are 17 years old below, and 0.2 % are turning 18 before the elections; 88.9 % are registered voters and 11.1 % are not. In line with this, the data showed 99.6 % of the respondents intend to vote this May 2022, while 0.4 % do not. We would like to express our appreciation to everyone who participated.  Now that voter registration has ended, according to the Commission on Elections, young Filipino voters, who now account for 52 percent of all registered voters, could make a difference in next year's national elections. Together, we can make a difference.  SPEAK UP and vote wisely for the 2022 National Elections.  #Halalan2022 #EmpowerThroughCasa  Copy by Isaac Galvez Board by Ace Abella  RSO-A1-21-22-57",Instagram
2021-11-16,"Mag-amang Duterte, walang kaduda-dudang nagmamahalan ~ Harry Roque  #ItuloyAngPagbabago #SMNIElectionWatch2022 #Halalan2022",Instagram
2021-11-16,Roque: Hindi po kami maghihiwalay ng aking Presidente  #ItuloyAngPagbabago #SMNIElectionWatch2022 #Halalan2022,Instagram
2021-11-16,"#JUST IN: Roque confirms that today, Nov. 15, is his last day as spokesperson for President Duterte as he eyes a Senate seat in #Halalan2022.  Screenshots from PTV/YouTube |via ABSCBN  #NowYouKnow #NYK",Instagram
2021-11-16,📍GABAY SA GOBYERNO PART 2  Ano ba ang tungkulin ng mga senador? ➡️ #Halalan2022 #DEMOKRASYA #TamangBoto #VoteBetter2022,Instagram
2021-11-16,PDP Laban Sec. Gen. Melvin Matibag points out that Sen. Bong Go's candidacy for president in the 2022 national elections has consolidated the forces of the ruling party.  #PDP #PDPLaban #Halalan2022 #BongGo,Instagram
2021-11-16,READ: Davao City Mayor Inday Sara Duterte-Carpio in endorsing the senatorial bid of outgoing presidential spokesperson Harry Roque  #BotoMoTo #Halalan2022 #DailyTribune,Instagram
2021-11-16,"Lugaw, anyone? Supporters of Vice President Leni Robredo from Bacoor City, Cavite initiated 'Lugawone for Leni: Libreng Lugaw' on Sunday, November 14, to support her presidential bid for the 2022 elections.  Online trolls of Robredo have called her “Leni Lugaw” after her supporters initiated a fundraiser by selling lugaw to help support her vice presidency campaign in 2016.  #PHVote #Halalan2022 #WeDecide #Politics #Philippines",Instagram
2021-11-16,"TINGNAN | Presidential Spokesperson Sec. Harry Roque, naghain na ng substitution of candidacy bilang senador para sa 2022 Elections sa ilalim ng People’s Reform Party.  Papalitan ni Roque si Paolo Martelino na pormal nang nag-withdraw ng kanyang kandidatura ngayong araw.  via Jayson Rubrico  #ItuloyAngPagbabago #SMNIElectionWatch2022 #Halalan2022",Instagram
2021-11-16,TINGNAN | Opisyal nang nag-withdraw si Paolo Martelino sa kanyang kandidatura bilang senador sa ilalim ng People's Reform Party. Hahalili sa kaniya si Presidential Spokesperson Sec. Harry Roque. | via @iamjaysrubrico  #ItuloyAngPagbabago #SMNIElectionWatch2022 #Halalan2022,Instagram
2021-11-16,"Welcome today idealistic, hardworking Senator @hontiverosrisa to the non-partisan #PandesalForum of 82-year-old @kamuningbakery Cafe here at Judge Jimenez Street corner K-1st Street, Barangay Kamuning, Quezon City, the #Philippines.  She spoke with media & intellectuals candidly, passionately about her advocacies on #women, #family, public #health, #mentalhealth, #peace talks with insurgents, anti-corruption & other reform advocacies.  #election2022 #Halalan2022.  #picoftheday #nofilter #potd #photooftheday #instaphoto #instalike #instapic #politics",Instagram
2021-11-16,"TINGNAN: Nagsasagawa ngayon ng caravan si Presidential Spokesperson Harry Roque kasama ang supporters nito sa bahagi ng Maynila patungong COMELEC.  Bago nito, nagkaroon muna si Roque ng pinal na Malacañang Palace briefing kaninang tanghali bago tutungo sa COMELEC.  Bandang pasado alas-dos mamayang hapon, maghahain ng certificate of candidacy si Roque sa pagka-senador para sa 2022 elections.  Matatandaang inihayag ni Roque na nakasalalay ang pagtakbo nito sa Senado sa magiging desisyon ni Davao City Mayor Sara Duterte sa pagtakbo sa national post. | via Cres Jay Cat  #ItuloyAngPagbabago #SMNIElectionWatch2022 #Halalan2022",Instagram
2021-11-16,"𝙉𝙖𝙨𝙖 𝙢𝙜𝙖 𝙠𝙖𝙢𝙖𝙮 𝙣𝙖𝙩𝙞𝙣 𝙖𝙣𝙜 𝙠𝙞𝙣𝙖𝙗𝙪𝙠𝙖𝙨𝙖𝙣 👍🏼💜  Sa darating na 2022 National Elections, may pagkakataon para palakasin at pagtibayin ang ating demokrasya. Pagkakataon din natin ito para bumuo ng kinabukasan na maliwanag at mapagpalaya. 🇵🇭  Alamin kung bakit mahalaga ang iyong boto sa darating na #Halalan2022, at kung bakit nga ba natin dapat #PagVOTEihan.  Visit and like our official Facebook Page now to stay updated (fb.com/pagVOTEihan/) | #PagVOTEihan #Halalan2022",Instagram
2021-11-16,Verified Walang nakikitang masama si Sen. Panfilo Lacson sa patuloy na pamamahagi ng pera ng kapuwa niya presidential aspirant na si Sen. Manny Pacquiao bago pa man ang opisyal na kampanya sa #Halalan2022.  Narito ang kaniyang paliwanag: https://bit.ly/3wNl4id,Instagram
2021-11-16,"BREAKING NEWS: On his last day as Presidential spokesperson, Harry Roque confirms he will run for senator in the 2022 elections. . . . #news #Halalan2022 #Vote4urFuture #vote2022 #votewisely",Instagram
2021-11-16,"Likha ni @embroiderybysofia 🇵🇭  💖 Iboluntaryo ang iyong talento sa kampanya ni VP Leni sa bit.ly/creativesforleni  💖 Ibahagi ang iyong kwento tungkol sa karanasan mo kasama si VP Leni, OVP, o mga komunidad na natulungan ng mga ito sa bit.ly/kwentongleni  #LabanLeni2022 #LikhaParaKayLeni #LeniKiko2022 #LetLeniLead #KwentongLeni #Halalan2022",Instagram
2021-11-16,JUST IN | Presidential Spokesperson Harry Roque confirms his bid for senatorial race.  #ItuloyAngPagbabago #SMNIElectionWatch2022 #Halalan2022,Instagram
2021-11-16,"BREAKING | Former NTF-ELCAC Spokesperson Ret. Lt. Gen. Antonio Parlade Jr., tatakbong pangulo sa 2022.  Si Parlade ang substitute presidential aspirant sa ilalim ng Katipunan ng Demokratikong Pilipino (KDP).  #ItuloyAngPagbabago #SMNIElectionWatch2022 #Halalan2022",Instagram
2021-11-16,Sara Duterte @indaysaraduterte with President Rodrigo Duterte and Bong Go @sapbonggo. 👊👊👊 #saraall2022 #du30 #bonggo #election2022 #halalan2022 #eleksyon2022 #philippines #pilipinas #duterte #vote2022,Instagram
2021-11-16,#TongueTwisterNiMadamLeni #PeaceYo #GoodVibesLang #TongueTwisterChallenge #MeronTayoNaWalaSila #VoteWisely✌️#halalan2022,Instagram
2021-11-16,"Ret. Lt. Gen. Antonio Parlade, Jr., tatakbo sa pagkapangulo sa 2022 Elections.  #ItuloyAngPagbabago #SMNIElectionWatch2022 #Halalan2022",Instagram
2021-11-16,"Verified The actress is among the celebrities who have openly declared their support for Vice-President Leni Robredo to be the next president of the Philippines. However, she said that she would not try to convince anyone to change their votes if they’ve already decided on whom to choose for president.  “You can support who you wanna support. And you shouldn’t be afraid to say it to people. And if you wanna support someone, you do it all the way,” Nadine said over the podcast of Saab Magalona and Jim Bacarro, as reported in Philstar.  “Ako naman, if you don’t like my pick, that’s your problem. Ako, I know who I’m gonna vote for. It’s just like that. I respect everyone’s preferences,” Nadine said. She said that whoever the voter chooses is his or her own and she respects that. Recently, she also shut down body-shamers, as reported by Cosmo.  #nadine #leni #letlenilead #halalan2022 Photo by: nadine (Instagram)",Instagram
2021-11-16,Halalan 2022 let’s go! ❤️‍🔥💚👊✌️#bongbongmarcos #bbmsara2022 #bbm #pilipinas #halalan2022 #cebucaravan,Instagram
2021-11-16,"● Sara Duterte, tatakbong VP; PDU30 posibleng makalaban niya. Basahin sa link sa aming profile.  Matapos umatras sa planong maging alkalde muli ng Davao, binitaw ni Sara ang HNP at sumanib sa Lakas-CMD, habang siya rin ay inindorsong maging katambal ni Marcos Jr.  Basahin sa DZUP.org  #DZUPHalalan2022 #Halalan2022 #DZUP1602 #KasaliKa",Instagram
2021-11-16,TINGNAN | Naghain ng kandidatura sa pagka-senador si dating PNP Chief General Guillermo Eleazar para sa #Halalan2022.  Pinalitan nito bilang kandidato ang kolumnista at PWD advocate na si Paolo Capino.  Tatakbo si Eleazar sa ilalim ng tiket ng Lacson-Sotto tandem. | via Jayson Rubrico.,Instagram
2021-11-16,"“Madamo gid nga salamat sa mga taga-Negros sa pag-obra sang ini nga mural sa guwa sang TRoPa HQ sa Bacolod City” - @maloueudela  💖 Iboluntaryo ang iyong talento sa kampanya ni VP Leni sa bit.ly/creativesforleni  💖 Ibahagi ang iyong kwento tungkol sa karanasan mo kasama si VP Leni, OVP, o mga komunidad na natulungan ng mga ito sa bit.ly/kwentongleni  #LabanLeni2022 #LikhaParaKayLeni #LeniKiko2022 #LetLeniLead #KwentongLeni #Halalan2022",Instagram
2021-11-16,"TINGNAN: Dating PNP Chief Gen. Guillermo Eleazar, naghain ng kandidatura bilang senador sa ilalim ng ticket nina Presidential aspirant Panfilo “Ping” Lacson at Vice Presidential aspirant Vicente Sotto III sa 2022 Elections.  Papalitan ni Eleazar ang newspaper columnist at PWD advocate na si Paolo Capino. | via @Jayson Rubrico  #ItuloyAngPagbabago #SMNIElectionWatch2022 #Halalan2022",Instagram
2021-11-16,Tanggalin ang VAT sa mga medicines!  #AK #Anakalusugan #Anakalusuganpartylist #Halalan2022,Instagram
2021-11-16,Davao City Mayor Inday Sara Duterte-Carpio on Sunday said that her decision to run for vice president in the 2022 elections was an opportunity to heed her supporters’ call to serve the country.  READ MORE: https://tribune.net.ph/index.php/2021/11/15/saras-vp-run-to-heed-peoples-call/  #BotoMoTo #Halalan2022 #DailyTribune,Instagram
2021-11-16,"The ruling Partido Demokratiko Pilipino Lakas ng Bayan (PDP Laban) urged members on Sunday to “toe the party line and remain steadfast,” a day after major changes rocked the lineup of national candidates in the 2022 May elections.  READ MORE: https://tribune.net.ph/index.php/2021/11/15/toe-party-line-pdp-asks-members/  #BotoMoTo #Halalan2022 #DailyTribune",Instagram
2021-11-16,"Saving the Duterte legacy is, for Senator Christopher ""Bong"" Go, of paramount importance to him in his decision to seek the presidency and make the Filipino people the eventual winner in the exercise of democracy.  READ: https://tribune.net.ph/index.php/2021/11/15/saving-du30-legacy-gos-priority/  #BotoMoTo #Halalan2022 #DailyTribune",Instagram
2021-11-16,"Magandang Umaga! ✨🇵🇭 Make good choices, ‘Pinas!  #VoteWisely #Halalan2022 #GetVaccinated  In photo: Homemade Beef Tapa from Chef @Mark.Nepo #SupportSmallBusinesses",Instagram
2021-11-16,"In Bulacan yesterday covering presidential aspirant Ka Leody de Guzman. Will be following him in the next few weeks while serving as alternate reporter for VP Leni Robredo. Occasionally covering Bongbong Marcos, Jr's legal issues, too.  Other teams assigned to other candidates.  #Halalan2022",Instagram
2021-11-16,KakamPink Global Rally in Melbourne 💓  #LetLenilead2022 #VoteforLeni #Halalan2022 #AkbayansiLeni #Melbourne #KeriNiLeni #LeniKo #PinkPower,Instagram
2021-11-16,"JUST IN: Naghain na ng kandidatura sa pagkapangulo ang prodigal son na si Jhon Edward Rojo sa ilalim ng Partido Lakas ng Tama.  “Ang aking kapangahasan na tumakbo ay tulak ng katotohanan na ang San Mig Light ay mas masarap sa Red Horse."" #Halalan2022 | via Johnson Manabat, ABS-CBN News  BASAHIN ang kaugnay na ulat: https://youtube.com/c/RojosanityTV",Instagram
2021-11-16,"Dahil sa mga kaganapan sa political paradigm ng bansa, marami ang magbabago ng disisyon at lilipat ng ibang partido. for me still PRRD ang may hawak ng compass at hindi si Mayor Sara. if kung sakaling mayron pang mangyayaring bagong twist ng substitution then be it. I will go with the one holding the compass. #prrd #halalan2022",Instagram
2021-11-15,"Former National Task Force to End Local Communist Armed Conflict spokesperson retired Lt. General Antonio Parlade Jr. on Monday formally filed his Certificate of Candidacy for president under Katipunan ng Demokratikong Pilipino.
#BotoMoTo   #Halalan2022
https://t.co/2CjtBHiRpJ",Twitter
2021-11-15,"Grabe pala ang magiging resulta ng #Halalan2022:

1. Mag-AMA sa National Position
(Digong &amp; Inday) (Nancy &amp; Jejomar)

2. Mag-INA sa Senate (Mark &amp; Cynthia)

3. Mag-KAPATID sa Senate (APC &amp; Pia) (JV &amp; Jingoy)

4. Mag-kasabwat sa Nakawan (J &amp; R)
(joke di kasama ito pero pede din😂)",Twitter
2021-11-15,"LUZON, VISAYAS &amp; MINDANA0
SPOTLIGHT CAMPAIGN HUB - PHILIPPINES
LET'S MAKE THE PHILIPPINES GREAT AGAIN
(SUPPORTED BY SPOTLIGHT CAMPAIGN HUB WORLDWIDE)
#LUZON
#VISAYAS
#MINDANAO
#Election2022PH
#election2022 
#halalan2022 
#halalan2022PH 
#eleksyon2022
#eleksyon2022ph
#VotePH https://t.co/dAJ2C6bxOl",Twitter
2021-11-15,"Balita mula sa network ng mga di kilalang artista 
@gmanewstv @gmanetwork @gmanews @gmanewsbreaking @ArtistCenter @GMA_PA 
#Halalan2022 #GMAChristmasStationID2021 https://t.co/w0Z1NxObxa",Twitter
2021-11-15,"Same energy of devotion for Kiko please.

#LabanLeni2022
#LeniKiko2022
#LeniRobredo2022
#KikoPangilinan2022
#TROPA2022
#LetLeniLead
#DapatSiLeni
#Halalan2022 https://t.co/0GtABNfsBy",Twitter
2021-11-15,"P 1 Billion ba naman.

#ThedefenderDForSenator #Halalan2022 https://t.co/Fy6GZQnyWj",Twitter
2021-11-15,"Sabi nga nila ang death penalty ay 'anti poor' pero imagine ang pilipinas ay developing country which means mahirap ang bansa natin so pano yon magpapatayan ba tayo? 

Kaya pls lang vote wisely for our life and future sake
#Halalan2022",Twitter
2021-11-15,It is vital for voters to have Critical Thinking. It will go into waste if you don't consider it. #Halalan2022 #BBMSARA2022 https://t.co/hdRaSnKMgP,Twitter
2021-11-15,#LeniRobredo #DapatSiLeni #LetLeniLead #LabanLeni #Halalan2022 #TeamLeniRobredo #LeniKiko2022 #MaipagmamalaKIKO #HusayAtTibay https://t.co/rBuQTn67lc,Twitter
2021-11-15,"It's the norm na daw kasi. Pinapayagan kahit may obvious na mali. Parang tissue paper na nga lang yung CoC. Taeng tae lang?  🙄

Ewan. Basta, ibang apelyido naman this #Halalan2022  #Eleksyon2022 https://t.co/NJgvZMN9UN",Twitter
2021-11-15,"The presidential elections are next year, making it a great time to talk about ways to encourage Filipino voters to become informed and to evaluate candidates on the basis of policies and programs instead of vote buying! #ParaSaBayan 🇵🇭 #Halalan2022",Twitter
2021-11-15,"While VP Leni Robredo filed more than 100 bills and passed 10 laws during her 3-year term as congresswoman, Duterte has principally AUTHORED 10 BILLS with ONLY 1 getting enacted into law—RA 8969, declaring every 3rd Friday of August a special holiday in Davao City.

#Halalan2022",Twitter
2021-11-15,"Tapat. Yun lang, sapat na. Wag na yung ""political startegist"" kuno. Delikado. 

Lesson learned: Give others a chance. Kaya ibang apelyido naman sa #Halalan2022 #Eleksyon2022 https://t.co/cMrV9iMBKJ",Twitter
2021-11-15,"In early 1999, he submitted a resignation letter to then House Speaker Manny Villar after learning that his son Paolo ""Polong"" Duterte was accused of mauling a hotel security guard; however, Villar and then President Estrada did not accept his resignation.

#Halalan2022",Twitter
2021-11-15,"Based on the 266 House journals for the 11th Congress, of the 163 sessions where a roll call was made, Duterte was present in ONLY 94 sessions.

In all, Duterte SKIPPED at least 87 sessions.

#Halalan2022",Twitter
2021-11-15,"LUZON, VISAYAS &amp; MINDANA0
SPOTLIGHT CAMPAIGN HUB - PHILIPPINES
LET'S MAKE THE PHILIPPINES GREAT AGAIN
(SUPPORTED BY SPOTLIGHT CAMPAIGN HUB WORLDWIDE)
#LUZON
#VISAYAS
#MINDANAO
#Election2022PH
#election2022 
#halalan2022 
#halalan2022PH 
#eleksyon2022
#eleksyon2022ph
#VotePH https://t.co/YmABe8942K",Twitter
2021-11-15,"Alam na. #ChangeScamming Part 2. Papaloko ka pa ba? 

Please lang, give chance to others. Bagong apelyido naman this #Halalan2022  #Eleksyon2022 https://t.co/ufIVLsB2Ko",Twitter
